Supplier Deductions Key,,,,,,,,,,,
NSOWKI,New Store Opening,UNFI East Region,Wakefern / ShopRite,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWKP,New Store Opening,UNFI East Region,Wakefern / ShopRite,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWKV,New Store Opening,UNFI East Region,Wakefern / ShopRite,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NSOWSS,New Store Opening,UNFI East Region,Weis,New Store/Item Rebate:  New Store Opening Order not on Weekly MCB report,,,,,,,
NUGGET(customer invoice #),3rd Party Billing,UNFI West Region,Nugget,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)NUGGET,3rd Party Billing,UNFI West Region,Nugget,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
OR(customer invoice #),3rd Party Billing,UNFI West Region,Organic Roots,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
OVPEX(mmyy)0(Remit#),Overpulls,UNFI East Region,UNFI Overpull Audit,Overpull:  Recover difference between off invoice discount extended to customers and  inventory purchase price,,,,,,,
PCC(mmyy)(customer invoice #),3rd Party Billing,UNFI West Region,PCC,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
PLCAUDIT(mmyy)0(Remit#),PLC,UNFI West Region,,Audit on Quality MCBs resulting from customer credits,,,,,,,
(Remit #)(mmddyy)FS,Floor Stocks,National,,"At times, suppliers will reduce their product costs.  On the effective date of this change, UNFI’s margin has the potential to be eroded as the company’s inventory is valued at a higher cost.  As such, inventory position needs to be assessed and the supplier worked with to recoup the difference from the higher to the new cost.",,,,,,,
PSM(mmmyy)0(Remit#),Sales - Meeting Participation,UNFI West Region,,Participation in Pacific Sales Meeting,,,,,,,
Q(Invoice #),Disposition,UNFI East Region,,"Donations, Quality and Return to Vendor respectively",,,,,,,
R(Invoice #),Disposition,UNFI East Region,,"Donations, Quality and Return to Vendor respectively",,,,,,,
RALEYS(customer invoice #),3rd Party Billing,UNFI West Region,Raleys,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
REC(mmyy)(UNFI Remit #) ,Recalls,National,,"Recall Fee - $250 fee/DC; $500 for additional DCs affected
Market Withdrawl Fee  $500 fee/DC affected + $2,500 for 0-100 Customers Affected and $5,000 for 101+ Customers Affected",,,,,,,
RECIDP(mmyy)(UNFI Remit #) ,Recalls,National,,Rocklin product recalls audit not previously billed,,,,,,,
RSC(mmyy)0(Remit #),Commissions,National,Retail Services,Deduction for Retail Service Commissions,,,,,,,
SF1(mmyy)(Remit #),3rd Party Billing,UNFI West Region,Super 1 Foods,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
SAS(invoice #),Post Audit ,UNFI East Region,,SAS Recovery - AP audit,,,,,,,
SASIF(invoice #),Post Audit Freight ,National,,SAS Recovery - covers cost of shorted product on UNFI sourced pickups,,,,,,,
SASW(invoice #),Post Audit ,UNFI East Region,,SAS Recovery - AP audit,,,,,,,
SBM(Month)(YY)0(Remit#),Sales - Meeting Participation,UNFI East Region,,Participation in Strategic Brand Sales Meeting,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,A – Arranged by Vendor - Long term deal approved by vendor                    ,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,C - Case Stack - Published deal requires minimum purchase,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,D - Demo  - Product that is pulled for demonstrations purposes usually by UNFI sales or approve by vendor,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,M - Miscellaneous ,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,N - SMOO - Super market opening order / new item allowance,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,O - Opening Order - Retail based open order program,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,P - Promos - Short term deal,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,S - Show Orders - UNFI trade show deals,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,T - Turnover Order - Turnover order with approval ,,,,,,,
SE(mmddyy)0(Remit#),MCB (Customer Specific),Select Nutrition,,Z - Samples - UNFI Sales force samples to promote product a store location,,,,,,,
SECMQ(month)(yy)0(Remit#),MCB (Quality),UNFI East Region,,"Select Nutrition Quality Manufacturer Chargebacks generated from Claims reported, recalls, quality issues, shelf worn, etc.",,,,,,,
SHERMS(customer invoice #),3rd Party Billing,UNFI West Region,Sherms,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
TONYSFF(MMYY),3rd Party Billing,UNFI West Region,Tony's Finer Foods,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
SNGPSPLS(invoice #)QCM,Select Nutrition Spoils Gap,UNFI East Region,,Spoils Gap:  Gap between the spoils allowance given to Select Nutrition and actual spoils incurred in their warehouse.,,,,,,,
SO(mmddyy)0(Remit#),MCB (Customer Specific),UNFI East Region,,U- UNFI Event ,,,,,,,
UOI(mmyy)(Remit #),MCB,UNFI East Region,,Audit of monies owed to UNFI for promotional activity with our mutual customers that was above and beyond what was procured to support supplier's promotion. ,,,,,,,
URMMCB(mthyy)(Remit #),3rd Party Billing,UNFI West Region,URM,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice,,,,,,,
URMNIP(Invoice #)HCM,3rd Party Billing,UNFI West Region,URM New Item Placement,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice,,,,,,,
"URMP(mthyy)(Remit #)
URMP(mth)(Remit #)",3rd Party Billing,UNFI West Region,URM Proposals,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
URMR(customer invoice #),3rd Party Billing,UNFI West Region,URM Rosauers,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
URMSHP(Invoice #)HCM,3rd Party Billing,UNFI West Region,URM Shippers,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice,,,,,,,
URMTO(Invoice #)HCM,3rd Party Billing,UNFI West Region,URM Turnovers,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice,,,,,,,
URMTT(Invoice #)HCM,3rd Party Billing,UNFI West Region,URM Table Top,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice,,,,,,,
WBN(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,Wild By Nature,Participation in Wild By Nature Custom Flyer advertising program. The Wild by Nature publication was created by UNFI and published on their behalf.,,,,,,,
SGDRLM(mmddyy)0(Remit #),MCB (Reclaim),UNFI East Region,Giant Foods," Program managed directly from customer  (Their version of spoils program - theft in store, supermarket shelf-worn, returns, damaged boxes - similar to our quality chargeback, but at their store level.) ",,,,,,,
WDXRLM(mmyy)0(Remit#),MCB (Reclaim),UNFI East Region,Winn Dixie," Program managed directly from Winn Dixie (Their version of spoils program - theft in store, supermarket shelf-worn, returns, damaged boxes - similar to our quality chargeback, but at their store level.",,,,,,,
WE(mmddyy)0(Remit#),MCB (Customer Specific),UNFI East Region,,A – Arranged by Vendor - Long term deal approved by vendor                    ,,,,,,,
WE(mmddyy)0(Remit#),MCB (Customer Specific),UNFI East Region,,C - Case Stack - Published deal requires minimum purchase,,,,,,,
WE(mmddyy)0(Remit#),MCB (Customer Specific),UNFI East Region,,D - Demo  - Product that is pulled for demonstrations purposes usually by UNFI sales or approve by vendor,,,,,,,
WE(mmddyy)0(Remit#),MCB (Customer Specific),UNFI East Region,,M - Miscellaneous ,,,,,,,
WE(mmddyy)0(Remit#),MCB (Customer Specific),UNFI East Region,,N - SMOO - Super market opening order / new item allowance,,,,,,,
WE(mmddyy)0(Remit#),MCB (Customer Specific),UNFI East Region,,O - Opening Order - Retail based open order program,,,,,,,
WE(mmddyy)0(Remit#),MCB (Customer Specific),UNFI East Region,,P - Promos - Short term deal,,,,,,,
WE(mmddyy)0(Remit#),MCB (Customer Specific),UNFI East Region,,S - Show Orders - UNFI trade show deals,,,,,,,
WE(mmddyy)0(Remit#),MCB (Customer Specific),UNFI East Region,,T - Turnover Order - Turnover order with approval ,,,,,,,
WE(mmddyy)0(Remit#),MCB (Customer Specific),UNFI East Region,,Z - Samples - UNFI Sales force samples to promote product a store location,,,,,,,
WFM(mmyy)0(remit#)DCMS,Fairshare,UNFI East Region,Whole Foods-Dedicated Category Manager Support Fee,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
WFM(mmyy)0(remit#)DCMSGR,Fairshare,UNFI East Region,Whole Foods Grocery-Dedicated Category Manager Support Fee,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
WFM(mmyy)0(remit#)DCMSWB,Fairshare,UNFI East Region,Whole Foods Whole Body-Dedicated Category Manager Support Fee,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
WFM(mmyy)0(remit#)EDP,Fairshare,UNFI East Region,Whole Foods Education Platform,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
WFM(mmyy)0(remit#)EDPGR,Fairshare,UNFI East Region,Whole Foods Education Platform Grocery,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
WFM(mmyy)0(remit#)EDPWB,Fairshare,UNFI East Region,Whole Foods Education Platform Whole Body,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
WFM(mmyy)0(remit#)ISE,Fairshare,UNFI East Region,Whole Foods In Store Execution,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
WFM(mmyy)0(remit#)ISEGR,Fairshare,UNFI East Region,Whole Foods In Store Execution Grocery,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
WFM(mmyy)0(remit#)ISEWB,Fairshare,UNFI East Region,Whole Foods In Store Execution Whole Body,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
WFM(mmyy)0(remit#)PLAN,Fairshare,UNFI East Region,Whole Foods-Auditing Services Fee,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
WFM(mmyy)0(remit#)PLANGR,Fairshare,UNFI East Region,Whole Foods Auditing Services Fee Grocery,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
WFM(mmyy)0(remit#)PLANWB,Fairshare,UNFI East Region,Whole Foods Auditing Services Fee Whole Body,Fairshare programs were created in an effort to ensure equal representation of all products on store shelves. These Fairshare deductions are billed in order to cover the costs associated with executing the services/benefits of this program on the store level. ,,,,,,,
WFMCRD(invoice#),MCB (Pricing Credit),UNFI East Region,Whole Foods,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice,,,,,,,
WHFDCPN(mmyy)0(Remit#),Whole Foods Advertising,National,Whole Foods,Third Party billing deductions for Whole Foods Coupon deals,,,,,,,
WHFDCOOP(mmyy)0(Remit#),Whole Foods Advertising,National,Whole Foods,Third Party billing deductions for Whole Foods CoOp deals,,,,,,,
WHFDSADS(mmyy)0(Remit#),Whole Foods Advertising,National,Whole Foods,Third Party billing deductions for Whole Foods Ads deals,,,,,,,
WHFDSCAN(mmyy)0(Remit#),Whole Foods Advertising,National,Whole Foods,Third Party billing deductions for Whole Foods Scans deals,,,,,,,
WHSTRN(invoice#)JCM,Transfer product,UNFI East Region,,Cost of transferring products between UNFI Distribution Centers.,,,,,,,
WKFRLM(mmddyy)0(Remit#),MCB (Reclaim),UNFI East Region,Wakefern," Program managed directly from customer  (Their version of spoils program - theft in store, supermarket shelf-worn, returns, damaged boxes - similar to our quality chargeback, but at their store level.) ",,,,,,,
(Invoice #)FFLWKFERN,MCB - Free Fill,UNFI East Region,Wakefern,Wakefern Free Fill program - One free case of each item sold by the case and three free units of each item not sold by the case for each item purchased through UNFI.,,,,,,,
WMFINE(invoice #)CM,New Jersey State Law Fine,UNFI East Region,,Weights & Measures:  Violations of New Jersey State Law,,,,,,,
PLC(mmyy)(Remit#),PLC,UNFI West Region,,Quality MCBs resulting from customer credits,,,,,,,
WRCRDMCB(invoice#),MCB (Pricing Credit),UNFI West Region,,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice,,,,,,,
WRCBP(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI West Region,,Participation in Custom Brand Pages Program,,,,,,,
WRDC(mmyy)0(Remit#),Advertising - Quarterly Ad Billings,UNFI West Region,,"Annual Advertising Program. We allow our suppliers to buy ad space in our UNFI catalog publications (Monthly Specials ads, Triannual catalog ads, Super Saver ads) on a yearly basis for a reduced rate. ",,,,,,,
WRDSDMCB(Invoice#)HCM,MCB (Pricing Credit),UNFI West Region,,Pricing Credits:  Manual billings for discounts not applied to customers on initial invoice for Direct Store Deliveries,,,,,,,
WRDWN(MMYY)O(REMIT#),Advertising - Monthly AD Billings,UNFI West Region,,West Discover What's Next Program,,,,,,,
WREMC(mmyy)0(Remit#),Advertising - Monthly AD Billings,UNFI West Region,,Participation in West Email - Situational Marketing Campaign program.,,,,,,,
EREXPL(mmyy)0(Remit #),Advertising - Monthly AD Billings,UNFI West Region,,Express Lane Program,,,,,,,
WRFSC(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI West Region,,Participation in the Food Service Catalogue advertising billing.,,,,,,,
WRGPSPLS(invoice#)QCM,Spoils Gap/Spoils Gap for Full Reclaim,UNFI West Region,,Spoils Gap/Spoils Gap for Full Reclaim:  Gap between the spoils allowance given to UNFI and actual spoils incurred in our warehouses,,,,,,,
WRHE(mmyy)0(Remit#),Advertising - Monthly AD Billings,UNFI West Region,,Holiday Edition or Seasonal Essentials,,,,,,,
WRHS(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI West Region,,Hot Sheets Program,,,,,,,
WRMAPMP(mmyy)0(Remit#),Advertising - Monthly AD Billings,UNFI West Region,,Enrollment fee for MAP Management Program.,,,,,,,
WRMSNPLP(mmyy)0(remit#),Advertising - Monthly AD Billings,UNFI West Region,,Monthly Specials New Product & Line Listing advertising program from our Monthly Specials Catalogue.,,,,,,,
WRNACVTN(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI West Region,,New Product Activation UNFI marketing advertising ,,,,,,,
WRNC(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI West Region,Natural Connection Flyer,Natural Connection Custom Flyer advertising billing.,,,,,,,
WRNIIP(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI West Region,,New Item Intro advertising program,,,,,,,
WRNIW(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI West Region,,New Item Webinar advertising program.,,,,,,,
WRTRAAD(mmyy)0(Remit#),Advertising - Quarterly Ad Billings,UNFI West Region,,Participation in Trailer Advertising Program,,,,,,,
WRNTRUCK(mmyy)0(remit#),Advertising - Monthly Ad Billings,UNFI West Region,,Truck Advertising,,,,,,,
WRNYSM(mmyy)0(Remit#),Sales - Meeting Participation,UNFI West Region,,Participation in National Sales Meeting,,,,,,,
WROSF(mmyy)0(Remit#),Shipment Fees,UNFI West Region,,Service Level Agreement Fee for overshipments,,,,,,,
WRUDSM(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI West Region,,Participation in UNFI Discover (Social Media) Program,,,,,,,
OVP(mmyy)0(Remit#),MCB (Overpulls),UNFI West Region,,Overpull:  Difference between OI received and deals extended to customers,,,,,,,
WRPKGCHG(mmyy)0(Remit #),Pack Change Fee ,UNFI West Region,,"Pack Change Fee:  Supplier made changes to a product that will require a new UNFI product number.  Changes to case or unit size, retail UPC, brand name, organic status, description, or ingredients require a change.  ",,,,,,,
WRRSRP(mmyy)0(Remit #),Advertising - Monthly Ad Billings,UNFI West Region,,Rapid Shelf Recovery,,,,,,,
WRSE(mmyy)0(Remit#),Advertising - Monthly AD Billings,UNFI West Region,,Seasonal Essentials,,,,,,,
WRSHIP(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI West Region,Shippers,Shipper Custom Flyer advertising program.,,,,,,,
WRSIS(mmyy)0(Remit#),Advertising - Quarterly Ad Billings,UNFI West Region,,Supplier In-Site Program ,,,,,,,
WRSLA(mmyy)0(Remit#),Shipment Fees,UNFI West Region,,Service Level Agreement Fee for undershipments,,,,,,,
WRSLSBYS(mmyy)0(Remit#),Advertising - Quarterly Ad Billings,UNFI West Region,,Velocity Report -  Sales by State.  Dollar/Case sales by state by UNFI Distribution Center including all classes of trade.,,,,,,,
WRSOG(mmyy)0(Remit#),Advertising,UNFI West Region,,Sponsored Order Guide Program,,,,,,,
WRSPEC(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI West Region,,Monthly Specials advertising program.,,,,,,,
WRTRNDSB(mmyy)0(Remit#),Advertising - Quarterly Ad Billings,UNFI West Region,,Quarterly Reports on new trends program.  Trends Email for Trends Billing,,,,,,,(Location)(Month)(yy)0(Remit#)
WRTTSSSS(mmyy)0(Remit#),Food Show,UNFI West Region,,Participation in the Table Top Spring Show & Summer Showcase,,,,,,,(Location)(Month)(yy)0(Remit#)
WRTTSVWE(mmyy)0(Remit#),Food Show,UNFI West Region,,Participation in the Table Top Show for Virtual Wellness Exchange,,,,,,,(Location)(Month)(yy)0(Remit#)
WRTTSWSLV(mmyy)0(Remit#),Food Show,UNFI West Region,,Participation in the Table Top Winter Show - Las Vegas,,,,,,,
WRTT(Location)(mmyy)0(Remit#),Food Show,UNFI West Region,,"Participation in the Table Top Shows (booth area, advertising, etc.).",,,,,,,(Location)(Month)(yy)0(Remit#)
WRTTOPEXPO(Location)(Month)(yy)0(Remit#),Food Show,UNFI West Region,,"Participation in the Table Top Shows (booth area, advertising, etc.).",,,,,,,(Location)(Month)(yy)0(Remit#)
WRTTOPLB(Location)(Month)(yy)0(Remit#),Food Show,UNFI West Region,,"Participation in the Table Top Shows (booth area, advertising, etc.).",,,,,,,(Location)(Month)(yy)0(Remit#)
WRTTOPLV(Location)(Month)(yy)0(Remit#),Food Show,UNFI West Region,,"Participation in the Table Top Shows (booth area, advertising, etc.).",,,,,,,(Location)(Month)(yy)0(Remit#)
WRTTOPWELL(Location)(Month)(yy)0(Remit#),Food Show,UNFI West Region,,"Participation in the Table Top Shows (booth area, advertising, etc.).",,,,,,,(Location)(Month)(yy)0(Remit#)
WRTTORL(Location)(Month)(yy)0(Remit#),Food Show,UNFI West Region,,"Participation in the Table Top Shows (booth area, advertising, etc.).",,,,,,,(Location)(Month)(yy)0(Remit#)
WRVELCTY(mmyy)0(Remit #),Advertising - Quarterly Ad Billings,UNFI West Region,,Velocity Report - Movement report detailing overall units sold by Customer.,,,,,,,(Location)(Month)(yy)0(Remit#)
WRVOLDELS(mmyy)0(Remit#),Advertising - Monthly AD Billings,UNFI West Region,,Participation in Volume Deals program which are Case Stack Billings,,,,,,,(Location)(Month)(yy)0(Remit#)
WRWB(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI West Region,,Advertising Web Banner on UNFI website.,,,,,,,(Location)(Month)(yy)0(Remit#)
WRWELLFOC(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI West Region,,Wellness Monthly Focus Program. UNFI created ad exclusively for suppliers of products in wellness categories: Health & Beauty and Supplements. ,,,,,,,(Location)(Month)(yy)0(Remit#)
WRWHSTRN(invoice #)JCM,Transfer product,UNFI West Region,,Cost of transferring products between UNFI Distribution Centers.,,,,,,,
YKS(mmyy)(Program Name)(Remit #),3rd Party Billing,UNFI West Region,Yokes Specialty,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
SSAE+invoice#,,UNFI East Region,,SSA is a new UNFI policy that will provide suppliers with access to data & insights and consolidate 15-20 unique fees into one rate,,,,,,,
SSAW+invoice#,,UNFI West Region,,SSA is a new UNFI policy that will provide suppliers with access to data & insights and consolidate 15-20 unique fees into one rate,,,,,,,
SSAC+invoice#,,Conventional,,SSA is a new UNFI policy that will provide suppliers with access to data & insights and consolidate 15-20 unique fees into one rate,,,,,,,
SGPE+invoice#,,UNFI East Region,,"SGP is a new supplier partnership program with benefits intended to drive mutual growth with increased collaboration, data and insights, and fewer fees for a simplified way of doing business.",,,,,,,
SGPW+invoice#,,UNFI West Region,,"SGP is a new supplier partnership program with benefits intended to drive mutual growth with increased collaboration, data and insights, and fewer fees for a simplified way of doing business.",,,,,,,
DCE(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,,Natural DCE (Distribution Center Efficiency) is an item performance fee based on an item’s movement into a DC against all other items in the same DC.  Items are ranked into performance buckets and then the relevant fee is applied.   ,,,,,,,
WRDCE(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI West Region,,Natural DCE (Distribution Center Efficiency) is an item performance fee based on an item’s movement into a DC against all other items in the same DC.  Items are ranked into performance buckets and then the relevant fee is applied.   ,,,,,,,
SLOFE(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI East Region,,"Slotting fees are new items, activations or pack change replacements that are setup to take a slot in our warehouses.",,,,,,,
WRSLOFE(mmyy)0(Remit#),Advertising - Monthly Ad Billings,UNFI West Region,,"Slotting fees are new items, activations or pack change replacements that are setup to take a slot in our warehouses.",,,,,,,
LCF(PO#),Freight Shifted/Damaged,National,,"Product was not adequately secured during transit, resulting in movement/damage ",,,,,,,
LCPV(PO#),Pallet Violation Fee,National,,"Pallet does not meet standard set by UNFI, failing one or more specifications: Bad Pallet/Unacceptable Pallet, Product overhanging, Items not grouped together, and Restacking",,,,,,,
LCBOL(PO#),Incomplete/Inaccurate BOL or Packing Slip,National,,"Shipping documents including Bill of Lading (BOL), or Packing Slips are incomplete or inaccurate",,,,,,,
AVL(PO#),Late for Scheduled Appt >30 mins,National,,Supplier delivered loads that are late to scheduled appointments by more than 30 mins,,,,,,,
AVNCNS(PO#),No Call/No Show,National,,Supplier delivered loads that are no call no shows to scheduled appointments,,,,,,,
AVR(PO#),Reschedule within 24 hrs prior to Appt.,National,,Supplier delivered loads that are rescheduled with less than 24 hours’ notice,,,,,,,
LCO(PO#),Load Condition Fee - Overship,National,,UPC Barcodes missing and/or unscannable from product/cases,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
*Remit # is the UNFI Supplier #,,,,,,,,,,,
**Note: if Remit# has a location code this will be at the end of the Remit#,,,,,,,,,,,
"***Location Code is a UNFI reference to a supplier's address, if a supplier has multiple addresses",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"*All 3rd Party invoices begin with ""01"" for the East, and ""03"" for the West",,,,,,,,,,,
**All 3rd Party invoices will have the program type noted before the billing code,,,,,,,,,,,
**SCAN - Scans,,,,,,,,,,,
**ADS - Ads,,,,,,,,,,,
**SLOT - Slotting,,,,,,,,,,,
** CPN - Coupons,,,,,,,,,,,
**3PTY - Other,,,,,,,,,,,